13	20	66	122
1	20	4	122
0	20	0	122
1	20	9	122
7	20	41	122
6	20	33	122
0	20	1	122
4	20	32	122
3	20	9	122
0	20	0	122
12	20	78	122
2	20	23	122
4	20	22	122
0	20	2	122
0	20	0	122
0	20	0	122
0	20	3	122
4	20	19	122
10	20	53	122
4	20	15	122
0	20	2	122
0	20	0	122
1	20	9	122
16	20	91	122
4	20	35	122
2	20	7	122
0	20	1	122
0	20	1	122
0	20	4	122
11	20	60	122
0	20	4	122
2	20	11	122
0	20	7	122
5	20	24	122
0	20	1	122
0	20	0	122
10	20	57	122
0	20	0	122
0	20	0	122
0	20	3	122
1	20	10	122
0	20	3	122
10	20	58	122
0	20	1	122
0	20	0	122
4	20	13	122
0	20	1	122
0	20	2	122
0	20	1	122
0	20	0	122
2	20	14	122
0	20	6	122
1	20	7	122
0	20	6	122
4	20	24	122
1	20	8	122
0	20	4	122
9	20	48	122
4	20	23	122
1	20	2	122
1	20	2	122
11	20	73	122
1	20	3	122
0	20	0	122
0	20	2	122
1	20	3	122
0	20	6	122
2	20	16	122
0	20	1	122
0	20	0	122
2	20	12	122
0	20	5	122
7	20	46	122
3	20	13	122
14	20	70	122
5	20	12	122
5	20	36	122
8	20	48	122
10	20	50	122
10	20	45	122
3	20	17	122
1	20	5	122
6	20	24	122
4	20	15	122
0	20	1	122
13	20	56	122
2	20	7	122
0	20	0	122
0	20	0	122
0	20	6	122
13	20	75	122
9	20	45	122
0	20	4	122
15	20	85	122
2	20	24	122
9	20	56	122
2	20	13	122
1	20	5	122
4	20	17	122
1	20	2	122
7	20	39	122
13	20	69	122
3	20	23	122
8	20	48	122
1	20	3	122
0	20	0	122
7	20	30	122
15	20	62	122
4	20	23	122
4	20	30	122
4	20	30	122
1	20	1	122
2	20	2	122
0	20	2	122
0	20	0	122
5	20	13	122
3	20	29	122
1	20	10	122
3	20	7	122
4	20	34	122
0	20	7	122
4	20	14	122
4	20	24	122
0	20	0	122
3	20	10	122
4	20	32	122
1	20	2	122
0	20	2	122
4	20	15	122
1	20	4	122
0	20	11	122
6	20	30	122
5	20	42	122
11	20	64	122
3	20	14	122
7	20	27	122
1	20	7	122
14	20	79	122
5	20	22	122
11	20	76	122
2	20	12	122
11	20	83	122
0	20	0	122
0	20	1	122
6	20	28	122
0	20	2	122
4	20	21	122
0	20	0	122
2	20	14	122
6	20	20	122
3	20	30	122
0	20	0	122
2	20	8	122
1	20	3	122
0	20	0	122
9	20	40	122
0	20	1	122
1	20	2	122
5	20	19	122
1	20	11	122
1	20	14	122
0	20	0	122
1	20	6	122
4	20	27	122
0	20	0	122
0	20	1	122
5	20	5	122
